,HVMV Statistic Report,HVMV Statistic Report.1,HVMV Statistic Report.2,HVMV Statistic Report.3,HVMV Statistic Report.4,HVMV Statistic Report.5,HVMV Statistic Report.6
0,Наманганское ПТЭС>Наманган ш. Марказ ЭСП>Лола>Пахтакор, , , , , ,29/12/2021
1,Date,Supplied (kWh),Consumed(kWh),line loss,line loss,Supplied Collected Qty/Total Qty,Consumed Collected Qty / Total Qty
2,Date,Supplied (kWh),Consumed(kWh),Total Loss(kWh),Loss Rate(%),Supplied Collected Qty/Total Qty,Consumed Collected Qty / Total Qty
3,29/12/2021,0.0,0.0,0.0,0.0,0/1,0/0
4,28/12/2021,0.0,0.0,0.0,0.0,1/1,0/0
5,27/12/2021,0.0,0.0,0.0,0.0,1/1,0/0
6,26/12/2021,0.0,0.0,0.0,0.0,1/1,0/0
7,25/12/2021,0.0,0.0,0.0,0.0,1/1,0/0
8,24/12/2021,0.0,0.0,0.0,0.0,0/1,0/0
9,23/12/2021,0.0,0.0,0.0,0.0,0/1,0/0
10,22/12/2021,0.0,0.0,0.0,0.0,0/0,0/0
11,21/12/2021,0.0,0.0,0.0,0.0,0/0,0/0
12,20/12/2021,0.0,0.0,0.0,0.0,0/0,0/0
13,19/12/2021,0.0,0.0,0.0,0.0,0/0,0/0
14,18/12/2021,0.0,0.0,0.0,0.0,0/0,0/0
15,17/12/2021,0.0,0.0,0.0,0.0,0/0,0/0
16,16/12/2021,0.0,0.0,0.0,0.0,0/0,0/0
17,15/12/2021,0.0,0.0,0.0,0.0,0/0,0/0
