,Load Profile Meter Data Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,Meter No.:124200512590,,,,,,,,,,,,,,,,,,,,,,,,,Time:28/12/2021 00:00 - 29/12/2021 00:00
1,No.,Time,Usage +A(kWh),Usage -A(kWh),Usage +R(kvarh),Usage -R(kvarh),Demand Apparent<br />+S(kVA),Demand Apparent<br />-S(kVA),PF,Max V L1(V),Max V L2(V),Max V L3(V),Min V L1(V),Min V L2(V),Min V L3(V),Avg Current L1(A),Avg Current L2(A),Avg Current L3(A),PF L1,PF L2,PF L3,Avg V L1(V),Avg V L2(V),Avg V L3(V),Freq(Hz),Meter Status
2,1,29/12/2021 00:00:00,14.360,0.000,0.600,0.000,0.359,0.000,0.998,0.000,0.000,240.200,0.000,0.000,0.000,0.000,0.000,239.840,1.000,1.000,0.998,0.000,0.000,239.500,49.990,
3,2,28/12/2021 23:45:00,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.000,239.400,0.000,0.000,0.000,0.000,0.000,201.120,1.000,1.000,0.998,0.000,0.000,239.400,49.980,
4,3,28/12/2021 23:30:00,9.440,0.000,0.480,0.000,0.236,0.000,0.997,0.000,0.000,237.400,0.000,0.000,0.000,0.000,0.000,160.160,1.000,1.000,0.997,0.000,0.000,236.300,49.980,
5,4,28/12/2021 21:00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.997,0.000,0.000,235.600,0.000,0.000,0.000,0.000,0.000,127.040,1.000,1.000,0.997,0.000,0.000,235.600,49.960,
6,5,28/12/2021 20:45:00,12.160,0.000,0.080,0.000,0.304,0.000,0.999,0.000,217.600,233.000,0.000,210.000,228.500,0.000,0.000,211.840,1.000,0.999,1.000,0.000,214.600,230.800,49.950,Current unbalance
7,6,28/12/2021 20:30:00,11.160,0.000,0.080,0.000,0.279,0.000,0.999,0.000,216.200,232.400,0.000,199.700,224.900,0.000,0.000,196.480,1.000,1.000,0.999,0.000,209.000,229.000,49.930,Current unbalance
8,7,28/12/2021 20:15:00,10.760,0.000,0.280,0.000,0.269,0.000,0.999,0.000,204.900,228.900,0.000,200.400,224.700,0.000,0.000,190.560,1.000,1.000,0.999,0.000,202.100,227.000,49.970,Current unbalance
9,8,28/12/2021 20:00:00,12.040,0.000,0.480,0.000,0.301,0.000,0.999,0.000,206.000,229.700,0.000,199.200,226.000,0.000,0.000,212.640,1.000,0.999,0.999,0.000,202.600,227.900,49.980,Current unbalance
10,9,28/12/2021 19:45:00,11.680,0.000,0.320,0.000,0.292,0.000,0.999,0.000,217.100,240.200,0.000,171.900,202.600,0.000,0.000,205.440,1.000,0.999,0.999,0.000,204.800,228.700,49.970,Current unbalance
11,10,28/12/2021 19:30:00,34.040,0.000,2.240,0.000,0.853,0.000,0.997,0.000,210.300,229.300,0.000,197.900,218.900,0.000,318.560,318.720,1.000,0.997,0.998,0.000,204.400,223.900,49.970,Current unbalance
12,11,28/12/2021 19:15:00,43.840,0.000,2.840,0.000,1.098,0.000,0.997,0.000,208.500,223.000,0.000,203.900,218.200,0.000,483.680,344.480,1.000,0.996,0.997,0.000,206.400,221.300,49.950,Current unbalance
13,12,28/12/2021 19:00:00,43.360,0.000,2.880,0.000,1.086,0.000,0.997,0.000,209.700,223.400,0.000,205.300,218.600,0.000,470.240,346.560,1.000,0.996,0.997,0.000,207.400,221.100,50.000,Current unbalance
14,13,28/12/2021 18:45:00,44.720,0.000,3.560,0.000,1.122,0.000,0.996,0.000,211.500,221.100,0.000,207.100,213.800,0.000,458.880,384.320,1.000,0.995,0.997,0.000,209.300,218.000,49.950,Current unbalance
15,14,28/12/2021 18:30:00,45.640,0.000,3.520,0.000,1.144,0.000,0.996,0.000,209.600,218.300,0.000,202.700,212.500,0.000,477.440,392.000,1.000,0.995,0.997,0.000,207.300,215.400,49.980,Current unbalance
16,15,28/12/2021 18:15:00,44.800,0.000,3.200,0.000,1.123,0.000,0.996,0.000,214.900,219.200,0.000,204.800,213.600,0.000,465.120,381.920,1.000,0.995,0.998,0.000,209.600,216.200,49.950,Current unbalance
17,16,28/12/2021 18:00:00,44.120,0.000,3.160,0.000,1.106,0.000,0.996,0.000,215.700,219.600,0.000,207.500,212.000,0.000,438.560,391.040,1.000,0.995,0.997,0.000,211.900,215.700,49.960,Current unbalance
18,17,28/12/2021 17:45:00,41.000,0.000,2.600,0.000,1.028,0.000,0.997,0.000,211.800,222.100,0.000,204.000,217.000,0.000,435.520,336.960,1.000,0.996,0.998,0.000,208.100,219.800,49.970,Current unbalance
19,18,28/12/2021 17:30:00,38.080,0.000,1.720,0.000,0.953,0.000,0.998,0.000,216.200,224.300,0.000,0.000,0.000,0.000,408.800,302.240,1.000,0.998,0.999,0.000,210.000,221.700,50.000,Current unbalance
20,19,28/12/2021 17:15:00,40.040,0.000,2.520,0.000,1.003,0.000,0.997,0.000,219.400,219.400,0.000,212.100,215.000,0.000,400.800,343.360,1.000,0.996,0.999,0.000,215.200,217.100,49.980,Current unbalance
21,20,28/12/2021 17:00:00,37.720,0.000,2.360,0.000,0.945,0.000,0.997,0.000,219.900,222.900,0.000,215.100,214.800,0.000,373.760,320.640,1.000,0.996,0.998,0.000,217.300,219.100,49.960,Current unbalance
22,21,28/12/2021 16:45:00,36.080,0.000,2.080,0.000,0.904,0.000,0.997,0.000,222.400,224.800,0.000,214.800,217.700,0.000,351.520,306.080,1.000,0.996,0.998,0.000,219.400,221.600,49.960,Current unbalance
23,22,28/12/2021 16:30:00,35.240,0.000,1.720,0.000,0.882,0.000,0.998,0.000,228.700,226.800,0.000,218.400,220.400,0.000,330.560,303.360,1.000,0.997,0.999,0.000,222.700,223.700,49.970,Current unbalance
24,23,28/12/2021 16:15:00,34.000,0.000,1.960,0.000,0.851,0.000,0.997,0.000,228.500,230.000,0.000,222.200,220.600,0.000,305.280,299.040,1.000,0.997,0.998,0.000,225.000,226.800,49.970,Current unbalance
25,24,28/12/2021 16:00:00,31.960,0.000,1.480,0.000,0.800,0.000,0.998,0.000,230.400,231.800,0.000,224.200,225.000,0.000,279.200,284.480,1.000,0.997,0.999,0.000,227.400,227.900,49.990,Current unbalance
26,25,28/12/2021 15:45:00,32.600,0.000,1.200,0.000,0.816,0.000,0.999,0.000,229.500,232.600,0.000,223.600,223.100,0.000,292.800,283.520,1.000,0.998,1.000,0.000,226.800,227.200,49.990,Current unbalance
27,26,28/12/2021 15:30:00,30.840,0.000,1.240,0.000,0.771,0.000,0.999,0.000,229.500,230.300,0.000,223.900,224.800,0.000,282.720,262.240,1.000,0.998,0.999,0.000,226.100,228.100,50.000,Current unbalance
28,27,28/12/2021 15:15:00,31.640,0.000,1.800,0.000,0.792,0.000,0.997,0.000,226.700,231.500,0.000,222.100,226.400,0.000,300.320,260.800,1.000,0.997,0.998,0.000,224.400,228.900,49.990,Current unbalance
29,28,28/12/2021 15:00:00,32.640,0.000,1.800,0.000,0.818,0.000,0.998,0.000,230.600,231.600,0.000,223.000,225.600,0.000,299.680,276.160,1.000,0.998,0.997,0.000,226.900,228.700,49.970,Current unbalance
30,29,28/12/2021 14:45:00,35.040,0.000,2.280,0.000,0.878,0.000,0.997,0.000,232.000,231.200,0.000,224.600,223.700,0.000,309.920,307.680,1.000,0.997,0.997,0.000,228.800,227.300,49.990,Current unbalance
31,30,28/12/2021 14:30:00,34.880,0.000,2.560,0.000,0.875,0.000,0.996,0.000,231.000,231.600,0.000,224.900,224.100,0.000,313.120,302.560,1.000,0.995,0.997,0.000,228.000,227.500,49.980,Current unbalance
32,31,28/12/2021 14:15:00,35.400,0.000,2.320,0.000,0.888,0.000,0.996,0.000,228.100,230.200,0.000,223.200,224.600,0.000,335.520,292.960,1.000,0.995,0.998,0.000,225.500,227.400,49.980,Current unbalance
33,32,28/12/2021 14:00:00,32.000,0.000,2.040,0.000,0.802,0.000,0.997,0.000,229.500,230.600,0.000,225.000,226.000,0.000,295.200,269.920,1.000,0.996,0.998,0.000,227.000,228.300,49.970,Current unbalance
34,33,28/12/2021 13:45:00,31.360,0.000,1.520,0.000,0.785,0.000,0.998,0.000,229.400,231.100,0.000,222.200,226.900,0.000,298.560,254.240,1.000,0.997,0.999,0.000,226.300,229.200,49.970,Current unbalance
35,34,28/12/2021 13:30:00,32.680,0.000,1.680,0.000,0.818,0.000,0.997,0.000,228.600,231.400,0.000,222.100,226.000,0.000,316.960,260.960,1.000,0.997,0.999,0.000,225.200,228.900,49.970,Current unbalance
36,35,28/12/2021 13:15:00,34.960,0.000,1.880,0.000,0.876,0.000,0.997,0.000,229.400,230.600,0.000,223.900,223.100,0.000,330.720,288.800,1.000,0.997,0.999,0.000,226.500,226.500,49.970,Current unbalance
37,36,28/12/2021 13:00:00,35.440,0.000,2.040,0.000,0.888,0.000,0.997,0.000,229.700,230.400,0.000,220.800,223.600,0.000,344.640,283.840,1.000,0.996,0.999,0.000,225.600,227.500,49.960,Current unbalance
38,37,28/12/2021 12:45:00,35.320,0.000,1.880,0.000,0.884,0.000,0.997,0.000,226.900,231.600,0.000,220.300,226.200,0.000,357.760,269.760,1.000,0.997,0.999,0.000,223.300,229.200,49.990,Current unbalance
39,38,28/12/2021 12:30:00,36.760,0.000,1.680,0.000,0.921,0.000,0.998,0.000,228.300,230.900,0.000,221.200,224.300,0.000,355.040,296.160,1.000,0.997,0.999,0.000,225.700,227.600,49.990,Current unbalance
40,39,28/12/2021 12:15:00,35.840,0.000,1.240,0.040,0.897,0.000,0.998,0.000,230.300,230.700,0.000,0.000,0.000,0.000,345.440,288.320,1.000,0.998,0.999,0.000,225.800,227.800,49.970,Current unbalance
41,40,28/12/2021 12:00:00,40.000,0.000,2.320,0.000,1.002,0.000,0.997,0.000,226.500,227.200,0.000,220.800,222.000,0.000,380.480,336.480,1.000,0.997,0.999,0.000,223.400,224.400,49.980,Current unbalance
42,41,28/12/2021 11:45:00,41.120,0.000,2.520,0.000,1.030,0.000,0.997,0.000,225.900,228.000,0.000,220.100,221.300,0.000,384.800,351.200,1.000,0.996,0.998,0.000,223.100,225.500,49.990,Current unbalance
43,42,28/12/2021 11:30:00,42.840,0.000,2.400,0.000,1.072,0.000,0.997,0.000,226.700,227.700,0.000,219.700,220.700,0.000,402.880,365.920,1.000,0.996,0.999,0.000,222.400,224.600,49.970,Current unbalance
44,43,28/12/2021 11:15:00,43.400,0.000,2.680,0.000,1.087,0.000,0.997,0.000,223.900,227.800,0.000,217.400,221.900,0.000,414.560,367.840,1.000,0.996,0.998,0.000,220.500,225.100,49.950,Current unbalance
45,44,28/12/2021 11:00:00,43.440,0.000,2.640,0.000,1.088,0.000,0.997,0.000,222.100,225.900,0.000,215.400,221.000,0.000,412.640,374.720,1.000,0.996,0.999,0.000,219.600,223.200,49.990,Current unbalance
46,45,28/12/2021 10:45:00,45.000,0.000,2.480,0.000,1.127,0.000,0.997,0.000,221.600,225.300,0.000,214.200,218.900,0.000,432.800,386.560,1.000,0.996,0.999,0.000,218.700,222.200,49.960,Current unbalance
47,46,28/12/2021 10:30:00,42.680,0.000,2.360,0.000,1.069,0.000,0.997,0.000,219.800,224.200,0.000,211.400,218.500,0.000,412.800,369.920,1.000,0.996,0.999,0.000,216.800,220.700,49.980,Current unbalance
48,47,28/12/2021 10:15:00,40.600,0.000,2.280,0.000,1.017,0.000,0.997,0.000,216.300,222.800,0.000,210.000,218.600,0.000,409.600,340.160,1.000,0.996,0.999,0.000,214.000,221.000,49.990,Current unbalance
49,48,28/12/2021 10:00:00,38.960,0.000,2.040,0.000,0.975,0.000,0.997,0.000,219.100,226.200,0.000,0.000,0.000,0.000,390.880,325.440,1.000,0.997,0.999,0.000,215.000,221.900,49.990,Current unbalance
50,49,28/12/2021 09:45:00,44.280,0.000,2.760,0.000,1.110,0.000,0.997,0.000,217.800,219.000,0.000,210.900,214.700,0.000,424.960,398.880,1.000,0.996,0.998,0.000,214.500,217.000,50.010,Current unbalance
51,50,28/12/2021 09:30:00,44.640,0.000,2.840,0.000,1.118,0.000,0.997,0.000,218.000,219.400,0.000,211.400,214.000,0.000,425.760,404.000,1.000,0.996,0.998,0.000,215.200,216.400,49.980,Current unbalance
52,51,28/12/2021 09:15:00,43.480,0.000,2.760,0.000,1.090,0.000,0.997,0.000,219.500,217.100,0.000,210.700,213.000,0.000,407.840,401.760,1.000,0.996,0.998,0.000,216.100,214.900,49.990,Current unbalance
53,52,28/12/2021 09:00:00,41.280,0.000,1.920,0.000,1.033,0.000,0.998,0.000,219.700,220.700,0.000,212.500,213.900,0.000,384.000,378.080,1.000,0.997,0.999,0.000,216.900,217.200,49.990,Current unbalance
54,53,28/12/2021 08:45:00,38.880,0.000,1.840,0.000,0.973,0.000,0.998,0.000,222.200,220.600,0.000,215.100,215.200,0.000,359.680,354.080,1.000,0.997,0.999,0.000,218.400,218.400,49.970,Current unbalance
55,54,28/12/2021 08:30:00,38.560,0.000,1.880,0.000,0.966,0.000,0.998,0.000,223.800,221.400,0.000,191.300,187.200,0.000,360.160,349.760,1.000,0.997,0.999,0.000,218.400,217.200,49.980,Current unbalance
56,55,28/12/2021 08:15:00,37.320,0.000,1.800,0.000,0.935,0.000,0.997,0.000,218.700,221.200,0.000,212.900,214.100,0.000,352.960,340.160,1.000,0.996,1.000,0.000,215.500,216.000,49.970,Current unbalance
57,56,28/12/2021 07:45:00,34.800,0.000,1.800,0.000,0.871,0.000,0.997,0.000,219.000,222.900,0.000,214.900,218.300,0.000,328.320,310.560,1.000,0.996,1.000,0.000,216.700,220.100,49.970,Current unbalance
58,57,28/12/2021 07:30:00,35.760,0.000,1.880,0.000,0.895,0.000,0.997,0.000,220.400,222.900,0.000,216.500,218.700,0.000,331.840,320.960,1.000,0.997,0.999,0.000,218.300,221.000,49.990,Current unbalance
59,58,28/12/2021 07:15:00,34.400,0.000,1.880,0.000,0.862,0.000,0.997,0.000,223.400,227.300,0.000,219.200,221.900,0.000,309.440,308.480,1.000,0.997,0.998,0.000,221.500,225.000,49.970,Current unbalance
60,59,28/12/2021 07:00:00,35.080,0.000,1.360,0.000,0.878,0.000,0.999,0.000,227.100,231.600,0.000,219.100,225.800,0.000,332.960,291.680,1.000,0.998,1.000,0.000,222.400,228.600,49.950,Current unbalance
61,60,28/12/2021 06:45:00,32.520,0.000,1.040,0.000,0.813,0.000,0.999,0.000,227.900,235.600,0.000,222.800,229.100,0.000,310.720,259.680,1.000,0.998,1.000,0.000,225.200,232.500,49.950,Current unbalance
62,61,28/12/2021 06:30:00,29.200,0.000,0.640,0.000,0.730,0.000,0.999,0.000,233.300,238.800,0.000,224.900,234.100,0.000,272.800,231.520,1.000,0.999,1.000,0.000,229.300,236.000,49.960,Current unbalance
63,62,28/12/2021 06:15:00,28.120,0.000,1.000,0.000,0.704,0.000,0.999,0.000,236.500,240.100,0.000,230.500,235.700,0.000,252.000,227.360,1.000,0.998,1.000,0.000,232.800,238.100,49.980,Current unbalance
64,63,28/12/2021 06:00:00,29.360,0.000,1.120,0.000,0.735,0.000,0.999,0.000,237.400,241.600,0.000,233.300,238.000,0.000,255.360,240.960,1.000,0.997,1.000,0.000,235.400,239.400,49.950,Current unbalance
65,64,28/12/2021 05:45:00,30.640,0.000,1.200,0.000,0.767,0.000,0.998,0.000,239.600,242.400,0.000,234.200,237.900,0.000,260.320,255.360,1.000,0.997,1.000,0.000,236.900,239.900,49.970,Current unbalance
66,65,28/12/2021 05:30:00,32.360,0.000,0.880,0.000,0.809,0.000,0.999,0.000,239.800,241.600,0.000,234.700,237.500,0.000,284.640,260.480,1.000,0.998,1.000,0.000,236.400,239.600,49.980,Current unbalance
67,66,28/12/2021 05:15:00,30.640,0.000,0.920,0.000,0.766,0.000,0.999,0.000,238.100,243.100,0.000,234.300,239.400,0.000,270.880,244.160,1.000,0.997,1.000,0.000,236.200,240.900,49.970,Current unbalance
68,67,28/12/2021 05:00:00,30.240,0.000,1.200,0.000,0.757,0.000,0.998,0.000,239.100,244.000,0.000,234.000,240.600,0.000,263.840,243.040,1.000,0.997,1.000,0.000,237.000,241.800,49.970,Current unbalance
69,68,28/12/2021 04:45:00,27.080,0.000,1.040,0.000,0.678,0.000,0.998,0.000,241.400,244.300,0.000,236.400,241.200,0.000,233.760,217.440,1.000,0.997,1.000,0.000,238.700,243.000,49.980,Current unbalance
70,69,28/12/2021 04:30:00,27.040,0.000,0.960,0.000,0.677,0.000,0.998,0.000,241.500,245.300,0.000,236.300,242.100,0.000,234.400,215.360,1.000,0.997,1.000,0.000,238.900,243.500,49.970,Current unbalance
71,70,28/12/2021 04:15:00,27.920,0.000,1.440,0.000,0.700,0.000,0.997,0.000,240.200,245.200,0.000,236.900,242.100,0.000,244.800,220.160,1.000,0.996,0.999,0.000,238.800,243.600,49.990,Current unbalance
72,71,28/12/2021 04:00:00,29.800,0.000,1.280,0.000,0.746,0.000,0.998,0.000,239.800,245.800,0.000,234.600,241.700,0.000,269.920,227.360,1.000,0.997,1.000,0.000,237.000,244.000,49.970,Current unbalance
73,72,28/12/2021 03:45:00,26.000,0.000,0.840,0.000,0.650,0.000,0.999,0.000,239.300,246.600,0.000,235.300,242.400,0.000,238.720,194.080,1.000,0.998,1.000,0.000,237.600,244.500,49.990,Current unbalance
74,73,28/12/2021 03:30:00,25.520,0.000,1.160,0.000,0.639,0.000,0.998,0.000,239.600,247.000,0.000,236.000,243.700,0.000,230.080,194.720,1.000,0.996,1.000,0.000,237.900,245.100,49.980,Current unbalance
75,74,28/12/2021 03:15:00,25.120,0.000,0.840,0.000,0.628,0.000,0.999,0.000,240.800,247.700,0.000,235.600,242.700,0.000,226.240,190.240,1.000,0.998,1.000,0.000,238.400,245.700,49.990,Current unbalance
76,75,28/12/2021 03:00:00,25.960,0.000,1.440,0.000,0.650,0.000,0.997,0.000,240.100,248.300,0.000,236.500,243.600,0.000,232.960,197.600,1.000,0.996,0.999,0.000,238.500,245.900,49.950,Current unbalance
77,76,28/12/2021 02:45:00,28.760,0.000,1.520,0.000,0.720,0.000,0.997,0.000,244.400,251.000,0.000,206.200,221.600,0.000,254.240,224.320,1.000,0.997,0.999,0.000,237.800,245.000,49.990,Current unbalance
78,77,28/12/2021 02:30:00,25.320,0.000,1.000,0.000,0.634,0.000,0.999,0.000,245.700,250.300,0.000,236.000,243.500,0.000,227.680,192.800,1.000,0.998,0.999,0.000,238.400,245.300,49.970,Current unbalance
79,78,28/12/2021 02:15:00,25.160,0.000,1.000,0.000,0.630,0.000,0.998,0.000,240.800,246.700,0.000,235.900,242.500,0.000,221.920,196.480,1.000,0.997,1.000,0.000,238.300,244.700,49.980,Current unbalance
80,79,28/12/2021 02:00:00,25.200,0.000,1.080,0.000,0.631,0.000,0.998,0.000,239.200,246.700,0.000,235.200,243.300,0.000,226.560,192.960,1.000,0.997,1.000,0.000,237.400,245.000,49.970,Current unbalance
81,80,28/12/2021 01:45:00,25.080,0.000,0.880,0.000,0.628,0.000,0.998,0.000,239.000,246.700,0.000,234.800,242.700,0.000,225.280,193.120,1.000,0.998,1.000,0.000,237.100,244.500,49.980,Current unbalance
82,81,28/12/2021 01:30:00,25.800,0.000,0.800,0.000,0.646,0.000,0.999,0.000,238.200,245.700,0.000,234.700,242.100,0.000,232.800,199.520,1.000,0.998,1.000,0.000,236.400,243.400,49.980,Current unbalance
83,82,28/12/2021 01:15:00,25.240,0.000,0.680,0.000,0.631,0.000,0.999,0.000,239.600,245.200,0.000,234.600,240.900,0.000,222.560,199.840,1.000,0.998,1.000,0.000,236.800,243.000,49.980,Current unbalance
84,83,28/12/2021 01:00:00,26.040,0.000,0.840,0.000,0.651,0.000,0.999,0.000,237.600,244.800,0.000,234.500,240.700,0.000,230.880,205.760,1.000,0.998,1.000,0.000,236.100,242.600,49.980,Current unbalance
